id,name,url,content
6,The Wenlock Arms,http://wenlockarms.com/,"['Wenlock ArmsFind UsBeer & FoodContact UsCAMRA N.London Pub of the Year 2017CAMRA discounts all day TuesdayA traditional 19th Century Ale House serving a constantly changing range of the finest cask ales, keg beers and real ciders from around the British IslesOpening TimesMon ClosedTue/Wed 12pm - 11pmThurs 12pm - 12amFri/Sat 12pm - 12amSun 12pm - 11pm10 Cask Ales...…a constantly changing selection includoing Siren, Darkstar, Five Points, Oakham, Salopian, Bristol Beer and other independent national brewers20 keg Lines...…constantly changing range of craft ales and big brewers from Beaverton, Fourpure, Camden, Siren, Budvar, Guinness and others7 Real Ciders...…constantly changing range including Celtic Marches, Cheddar Valley, Worleys, Olivers and morePlease see our twitter feed for this weeks listingsFoodPieminister piesBaked camembertToastiesVegan sausage rollsWine14 BIN wine list including Chateux Dauzac Margaux, Newton Johnson Pinot Noir, Morgassi Superiore Gavi de Gavi, Bastianche Sauvingon Blanc.The PressContact Usbeer@wenlockarms.com0207 608 3406The Wenlock Arms,26 Wenlock Road,London, N1 7TATwitter Feed© Wenlock 2018, All Rights Reservedwebsite byvektor.']"
1,Chris Supercut,https://chris-supercut-barber-shop.business.site/,"[""Chris Supercut - Barber ShopChris Supercut\ue8b0Get Quote\ue0cdCall now\ue52eGet directionsUpdatesTestimonialsAbout usGalleryContactChris SupercutBarber ShopOpen today until 7:30 PMGet QuoteCall07786 936580Get directionsWhatsApp07786 936580Message07786 936580Contact UsFind TableMake AppointmentPlace OrderView MenuUpdatesFree Earflame & Steam for 1 Month.Feb 11, 2019 – Mar 11, 2019Free Earflame & Steam for 1 Month.Call nowPosted on Feb 19, 2019The shop opened on 11/02/2019 in the heart of Becontree, Dagenham.Testimonials4 days ago\ue5d4Flag as inappropriateMy new favourite barber! Friendly guys, good service, professional and very skilled! Recomend and keep up the good work guys!- Lorrie B2 weeks ago\ue5d4Flag as inappropriateGreat place to get a fresh hair cut they style your hair cut your beard wash and skin care like black mask all at good price with high quality end results I also took my son there and they made him feel welcome with given him a drink and lollipop get spot!!!!- joni a3 weeks ago\ue5d4Flag as inappropriateMy regular barbers for almost 2 years now! Never fail to impress me! The shop is always clean and the staff are amazing and welcoming! Highly recommend.- Yad BWrite a ReviewRead MoreThe art of traditional barbering.The Specialised in Traditional Barbers. in the Essex, London Area.BecontreeDagenhamEssexLondonFrom the wide range of treatments we offer to our excellent prices, we want to go that extra mile for our customers making sure that every time they come into Chris Supercut, they have an unforgetable experience.Read MoreGalleryContact UsContactCall now07786 936580AddressGet directions519 Gale StreetDagenhamEssexRM9 4TPUnited KingdomBusiness HoursMon:9:00 AM – 7:30 PMTue:9:00 AM – 7:30 PMWed:9:00 AM – 7:30 PMThu:9:00 AM – 7:30 PMFri:8:30 AM – 8:00 PMSat:8:00 AM – 8:00 PMSun:9:00 AM – 5:00 PMReport abusePowered byGoogle\ue8b0Quote\ue0cdCall\ue52eDirectionsGet quote✕Message sent. We'll get back to you soon.This site uses cookies from Google.Learn more\ue5cd""]"
73,Cafe Giardino Bromley Glades,http://www.cafe-giardino.co.uk/,"['Cafe Giardino | South East of EnglandMENUHomeMenusWhat’s onContactSIGN UP TO OURNEWSLETTERHomeMenusWhat’s onContactLocated in eight shopping centres across the South East of England.VIEW MENUSCAFE GIARDINOHAND MADEWith a huge variety of breakfast, lunch and light bite treats packed with flavour, offering something for everyone.FIND OUT MORELOOK AT OURMENUEveryday we open early preparing fresh food in all of our cafes to be enjoyed throughout the day. We offer freshly cooked breakfasts, made to order sandwiches and paninis, classic Italian pasta dishes and a great selection of healthy salads.VIEW MENUSWe have launchedJust Eat DeliveryWe have launched with Just Eat delivery. Bringing you all our fresh and delicious salads, sandwiches and much more all to your door. Check out the full menu on the Just Eat website, enter your postcode to find your nearest Cafe Giardino and order straight from there!ORDER NOWwhat they say…I’ve visited this restaurant many times and every time they never fail to please. The service is in point. Their choice of food is varied and the prices very reasonable.It was exceptionally pleasant revisiting this place for the first time since the relaxation of lockdown and I look forward to many more visits in future.Thanks guys. Highly recommended!!(Karen303)Visited here a few times. Service is on point and staff are amazingly generous with their portions. Can’t fault cafe giardino! 🤙🤙(Keeby)The salad display looks amazing (see photo), branding looks great, cups, mugs, look smart, selection of food is great.(Daisy)@cafe__giardinoFOLLOW USsign up to ourNEWSLETTEREnjoy a complimentaryhot drinkwith your next mealwhen you sign up to our newsletter. Stay up to date with the latest news and offers within Cafe Giardino.RecruitmentContactTerms & ConditionsCookie & PrivacyTown Centre Restaurants© 2021 Cafe Giardino. Website byJessica Spokes.']"
62,Cookies and Scream (vegan and gluten free bake shop),http://www.cookiesandscream.com/,['COOKIES AND SCREAM | VEGAN AND GLUTEN FREE BAKERY']
7,Dany's Barber,http://danysbarber.com/?utm_source=gmb&utm_medium=referral,"[""Dany's Barber - Barber ShopYour domain registration is pending. Check again in an hourDany's Barber\ue8b0Get Quote\ue0cdCall now\ue52eGet directionsUpdatesTestimonialsGalleryContactDany's BarberBarber ShopOpening at 09:30 tomorrowGet QuoteCall020 7372 0960Get directionsWhatsApp020 7372 0960Message020 7372 0960Contact UsFind TableMake AppointmentPlace OrderView MenuUpdatesPosted on Jun 10, 2021At Danys Barber, it is business as normal  walk in and appointment(Appt extra charge)W E \xa0 L O O K \xa0 F O R W A R D \xa0 T O \xa0 S E E I N G \xa0 Y O U \xa0 S O O N !We will be following COVID-19 secure guidelines on our reopening.Listed below are the measures we have put in place to ensure that our...Read MorePosted on Jun 30, 2020At Danys Barber, it is business as normal from 4th of July walk in and appointment(Appt extra charge)W E \xa0 L O O K \xa0 F O R W A R D \xa0 T O \xa0 S E E I N G \xa0 Y O U \xa0 S O O N !We will be following COVID-19 secure guidelines on our reopening.Listed below are the measures we have put in place to...Read More\ue038Posted on Feb 17, 2019Posted on Jan 28, 2019Posted on Jan 22, 2019Posted on Dec 30, 2018Testimonialsa month ago\ue5d4Flag as inappropriateNew in the neighbourhood, was looking for a good place to become regular and I am glad that my quest is over! Dany’s work is exceptional! Booking was extremely easy and punctual. The place was friendly, extremely clean and in accordance to all current regulations. For locals and non-locals, this is the place you were looking for!- Theofanis Sa week ago\ue5d4Flag as inappropriateGreat cut with Ali today. Thorough and professional. Good stuff. Certainly will be coming back.- Karl R2 months ago\ue5d4Flag as inappropriateI’ve been going to Dany’s Barbers for over 10 years now and they offer a fantastic service. Great haircuts, very methodical, highly experienced, take their time and very friendly staff! I would hugely recommend them if you want a unique hair style or just a simple trim. Thank you Dany’s Barbers!- Glen FWrite a ReviewRead MoreGalleryContact UsContactCall now020 7372 0960AddressGet directions8 Canfield GardensLondonNW6 3BSUnited KingdomOpening HoursMon:9:30 am – 7:00 pmTue:9:30 am – 7:00 pmWed:9:30 am – 7:00 pmThu:9:30 am – 7:00 pmFri:9:30 am – 7:00 pmSat:9:00 am – 6:00 pmSun:11:00 am – 5:00 pmReport abusePowered byGoogle\ue8b0Quote\ue0cdCall\ue52eDirectionsGet quote✕Message sent. We'll get back to you soon.This site uses cookies from Google.Learn more\ue5cd""]"
23,Goodfellas Barber Shop Ilford,http://hairdressersdirect.co.uk/,['Loading...']
43,The Haberdashery,http://www.the-haberdashery.com/,['']
61,Greedies,http://greediesworld.co.uk/,['For full functionality of this site it is necessary to enable JavaScript. Here are theinstructions how to enable JavaScript in your web browser.']
36,Black Sheep Coffee,https://leavetheherdbehind.com/blogs/locations/jubilee,"['Jubilee Place\n    \n    \n    \n      – Black Sheep CoffeeSkip to contentFree delivery over £20 for UK ordersEURGBP🇬🇧🇫🇷Order NowShopSubscriptions0LocationsOur CoffeesOur Beats0Order NowShopSubscriptionsLocationsOur BeatsOur CoffeesMy AccountEURGBPFacebookTwitterInstagramFACEBOOK.TWITTER.INSTAGRAM.Jubilee PlaceOrder & CollectUberEatsDeliverooJust Eatfind our storeJubilee Place Shopping Centre45 Bank St, Canary Wharf, London E14 5NYGET DIRECTIONSFIND THIS STORE ON WHAT3WORDS///tower.limbs.lampsopening hoursMON - FRI: 07:00am – 4:00pmSAT: 8:00am – 4:00pmSUN: 9:00am – 4:00pmBlack Sheep CoffeeOur CoffeesLocationsBookings & EventsCareersOur BeatsTerms & ConditionsPrivacy PolicyBean Subscriptions F.A.QOrder for DeliveryCOVID-19 Safety Control MeasuresShopOrder NowCoffee SubscriptionsCoffee BeansGift CardsGift SubscriptionsMerchMy AccountSupport OfficeBlack Sheep Coffee81 Southwark StreetSE1 0HXContact UsAppShopOrder NowCoffee SubscriptionsCoffee BeansGift CardsGift SubscriptionsMerchMy AccountSupport OfficeBlack Sheep Coffee81 Southwark StreetSE1 0HXContact UsAppNewsletterSign up for early access to our latest products and exclusive offersSubscribeYou are£20.00away from free UK shippingRemoving...Remove Product-+:Your cart is currently empty.SUB TOTALCheckoutContinue ShoppingShipping & taxes calculated at checkoutGET YOUR COFFEE FIXRobusta Revival£8.95Blue Volcano£8.95Bossa Nova£8.95Love Berries£8.95Rebel Decaf£8.95Sign up for early access to our latest products and exclusive offersSubscribeNo Thank you']"
18,Rosslyn Coffee | In-Store & Home Coffee Delivery,https://www.rosslyncoffee.com/?utm_source=GMB-listing,"['Rosslyn Coffee – Rosslyn CoffeeSkip to contentSubscribe to our newsletterStay up to date with all the latest from Rosslyn.SubscribeShopCoffeeMugsVouchersGift Subscriptions3 Month gift subscription6 Month gift subscription12 Month gift subscriptionAboutBrew GuidesVisitContactWholesaleCartYou are eligible for free shipping!Your cart is emptyFree postage on all coffee orders within the UKCoffee for homeCoffee—Roasted for milkFrom£9.80Coffee—Roasted for filterFrom£9.80Coffee—Roasted for blackFrom£9.80See all coffeeGift subscriptionsThe perfect gift for friends and family. Available in 3, 6 and 12 month packages.See more >“The ‘best worst kept secret’ in the City of London”Financial Times“One of the best new cafés in the world”Drift Magazine“The best coffee shop in the City of London”Conde Nast Traveller“Rosslyn might represent a template for the next phase in the evolution of specialty coffee in London”Eater.comBest Independent Coffee Shop in Europe 2019:2nd PlaceAllegra Coffee AwardsCeramic mugsHandmade\xa0in London specially for Rosslyn by ceramic artist Melisa Dora, our mugs come in four different glaze colours.See more >SocialInstagramInformationWork with usWholesale enquires for offices and venuesOur suppliersCoffee delivery in LondonShipping policyPrivacy policyRefund policyNewsletterStay up to date with all the latest from RosslynSubscribe© Rosslyn CoffeeDesign by Stephenson Edwards']"
31,Ozwald Copplepot; Villainously Good Coffee,https://ozwald-copplepot.business.site/,"[""Ozwald Copplepot; Villainously Good Coffee - Speciality CoffeeOzwald Copplepot; Villainously Good Coffee\ue8b0Get Quote\ue0cdCall now\ue52eGet directionsUpdatesTestimonialsGalleryContactOzwald Copplepot; Villainously Good CoffeeSpeciality CoffeeOpening at 7:00 AM tomorrowGet QuoteCall020 8742 8560Get directionsWhatsApp020 8742 8560Message020 8742 8560Contact UsFind TableView MenuMake AppointmentPlace OrderUpdatesPosted on Dec 5, 2018VILLAINOUSLY GOOD COFFEETestimonials3 months ago\ue5d4Flag as inappropriateIf you are truly in love with or fascinated with colours and magic like I am and still nurture a child on you then you want to visit this truly magical coffee experience in this gem of a place!!! And of course have GREAT coffee! The walls are covered with their loyalty cards which once belonged to customers. The decor is a child's paradise. I can't wait for this to open up post lockdown so that I can savour all their signature collection of colourful coffees!!!- Sutapa B2 weeks ago\ue5d4Flag as inappropriateAbsolutely my new favourite place to go to for a great coffee, brunch, and nice place to chill. Lovely staff too :)- sumaia ra month ago\ue5d4Flag as inappropriateDown to earth mini cafe, the interior and background music is great which mixes well with the tea selections. Would recommend and go again.- K WWrite a ReviewRead MoreGalleryContact UsContactCall now020 8742 8560AddressGet directions391 Chiswick High RoadLondonW4 4ARUnited KingdomBusiness HoursMon:7:00 AM – 5:00 PMTue:7:00 AM – 5:00 PMWed:7:00 AM – 5:00 PMThu:7:00 AM – 5:00 PMFri:7:00 AM – 5:00 PMSat:8:00 AM – 5:00 PMSun:ClosedReport abusePowered byGoogle\ue8b0Quote\ue0cdCall\ue52eDirectionsGet quote✕Message sent. We'll get back to you soon.This site uses cookies from Google.Learn more\ue5cd""]"
